reaction_id	metabolite_id	metabolite_name	lower_bound	upper_bound
EX_cpd11632_e0	cpd11632[e0]	hn_e0	-36.6	0.0
EX_cpd00001_e0	cpd00001[e0]	H2O_e0	-100.0	100.0
EX_cpd00007_e0	cpd00007[e0]	O2_e0	0.0	0.0
EX_cpd00009_e0	cpd00009[e0]	Phosphate_e0	-100.0	1000.0
EX_cpd00011_e0	cpd00011[e0]	CO2_e0	0.0	0.23
EX_cpd00013_e0	cpd00013[e0]	NH3_e0	-100.0	100.0
EX_cpd00029_e0	cpd00029[e0]	Acetate_e0	-1.96	0.0
EX_cpd00034_e0	cpd00034[e0]	Zn2+_e0	-20.0	0.0
EX_cpd00036_e0	cpd00036[e0]	Succinate_e0	0.0	1000.0
EX_cpd00048_e0	cpd00048[e0]	Sulfate_e0	-100.0	100.0
EX_cpd00063_e0	cpd00063[e0]	Ca2+_e0	-20.0	0.0
EX_cpd00067_e0	cpd00067[e0]	H+_e0	-100.0	100.0
EX_cpd00104_e0	cpd00104[e0]	BIOT_e0	-10.0	0.0
EX_cpd00118_e0	cpd00118[e0]	Putrescine_e0	0.0	100.0
EX_cpd00149_e0	cpd00149[e0]	Co2+_e0	-20.0	0.0
EX_cpd00153_e0	cpd00153[e0]	Benzoate_e0	0.0	100.0
EX_cpd00159_e0	cpd00159[e0]	L-Lactate_e0	0.0	0.0
EX_cpd00205_e0	cpd00205[e0]	K+_e0	-20.0	0.0
EX_cpd00209_e0	cpd00209[e0]	Nitrate_e0	0.0	1000.0
EX_cpd00254_e0	cpd00254[e0]	Mg_e0	-10.0	1000.0
EX_cpd00264_e0	cpd00264[e0]	Spermidine_e0	0.0	100.0
EX_cpd00268_e0	cpd00268[e0]	H2S2O3_e0	0.0	100.0
EX_cpd00305_e0	cpd00305[e0]	Thiamin_e0	0.0	100.0
EX_cpd00540_e0	cpd00540[e0]	BET_e0	0.0	100.0
EX_cpd10515_e0	cpd10515[e0]	Fe2+_e0	-20.0	0.0
EX_cpd10516_e0	cpd10516[e0]	fe3_e0	-20.0	0.0
EX_cpd11640_e0	cpd11640[e0]	H2_e0	0.0	1000.0
EX_cpd00058_e0	cpd00058[e0]	Cu2+_e0	-20.0	0.0
EX_cpd00030_e0	cpd00030[e0]	Mn2+_e0	-20.0	0.0
EX_cpd00443_e0	cpd00443[e0]	ABEE_e0	0.0	0.0
EX_cpd00106_e0	cpd00106[e0]	Fumarate_e0	0.0	100.0
EX_cpd00971_e0	cpd00971[e0]	Na+_e0	-20.0	0.0
EX_cpd00028_e0	cpd00028[e0]	Heme_e0	0.0	100.0
EX_cpd00644_e0	cpd00644[e0]	PAN_e0	0.0	100.0
EX_cpd11574_e0	cpd11574[e0]	Molybdate_e0	-100.0	100.0
EX_cpd03424_e0	cpd03424[e0]	Vitamin B12_e0	-100.0	0.0
EX_cpd00137_e0	cpd00137[e0]	Citrate_e0	-1000.0	1000.0
EX_cpd00060_e0	cpd00060[e0]	L-Methionine_e0	-1000.0	1000.0
EX_cpd01012_e0	cpd01012[e0]	Cd2+_e0	0.0	1000.0
EX_cpd00395_e0	cpd00395[e0]	L-Cysteate_e0	0.0	1000.0
EX_cpd00051_e0	cpd00051[e0]	L-Arginine_e0	0.0	1000.0
EX_cpd00119_e0	cpd00119[e0]	L-Histidine_e0	0.0	1000.0
EX_cpd00039_e0	cpd00039[e0]	L-Lysine_e0	-1000.0	1000.0
EX_cpd00084_e0	cpd00084[e0]	L-Cysteine_e0	0.0	0.0
EX_cpd00053_e0	cpd00053[e0]	L-Glutamine_e0	-1000.0	0.0
EX_cpd00041_e0	cpd00041[e0]	L-Aspartate_e0	-1000.0	1000.0
EX_cpd00132_e0	cpd00132[e0]	L-Asparagine_e0	0.0	1000.0
EX_cpd00136_e0	cpd00136[e0]	4-Hydroxybenzoate_e0	-1000.0	0.0
EX_cpd00023_e0	cpd00023[e0]	L-Glutamate_e0	0.0	0.0
EX_cpd00099_e0	cpd00099[e0]	Cl-_e0	-20.0	0.0
EX_cpd00020_e0	cpd00020[e0]	Pyruvate_e0	0.0	100.0
EX_cpd00024_e0	cpd00024[e0]	2-Oxoglutarate_e0	0.0	100.0
EX_cpd00042_e0	cpd00042[e0]	GSH_e0	0.0	100.0
EX_cpd00076_e0	cpd00076[e0]	Sucrose_e0	0.0	100.0
EX_cpd00082_e0	cpd00082[e0]	D-Fructose_e0	0.0	100.0
EX_cpd00098_e0	cpd00098[e0]	Choline_e0	0.0	100.0
EX_cpd00100_e0	cpd00100[e0]	Glycerol_e0	0.0	100.0
EX_cpd00105_e0	cpd00105[e0]	D-Ribose_e0	0.0	100.0
EX_cpd00107_e0	cpd00107[e0]	L-Leucine_e0	0.0	100.0
EX_cpd00111_e0	cpd00111[e0]	Oxidized glutathione_e0	0.0	100.0
EX_cpd00127_e0	cpd00127[e0]	Phenol_e0	0.0	100.0
EX_cpd00130_e0	cpd00130[e0]	L-Malate_e0	0.0	100.0
EX_cpd00138_e0	cpd00138[e0]	D-Mannose_e0	0.0	100.0
EX_cpd00156_e0	cpd00156[e0]	L-Valine_e0	0.0	100.0
EX_cpd00166_e0	cpd00166[e0]	Calomide_e0	0.0	100.0
EX_cpd00322_e0	cpd00322[e0]	L-Isoleucine_e0	0.0	100.0
EX_cpd00604_e0	cpd00604[e0]	4-Coumarate_e0	0.0	100.0
EX_cpd00731_e0	cpd00731[e0]	Ala-Ala_e0	0.0	100.0
EX_cpd00794_e0	cpd00794[e0]	TRHL_e0	0.0	100.0
EX_cpd01727_e0	cpd01727[e0]	Pimelate_e0	0.0	100.0
EX_cpd03091_e0	cpd03091[e0]	5'-Deoxyadenosine_e0	0.0	100.0
